AccountID,AccountNumber,CustomerID,BranchID,AccountType,Currency,AccountStatus,DateOpened,DateClosed,CurrentBalance
1,3746317213,100000001,42,Savings,NGN,Closed,2025-09-19,2026-01-16,0
2,9697354961,100000001,42,Current,NGN,Active,2026-05-08,,1207119
3,2181241943,100000002,142,Savings,NGN,Active,2020-04-14,,9655797
4,1958682846,100000003,100,Savings,NGN,Active,2022-04-19,,3172463
5,4163119785,100000004,77,Current,NGN,Active,2026-02-05,,35923158
6,9963334018,100000005,16,Savings,NGN,Active,2021-10-03,,3779224
7,2812140441,100000005,16,Current,NGN,Active,2018-12-10,,5610329
8,1127978094,100000006,16,Savings,NGN,Active,2025-10-18,,233558
9,1939042955,100000007,6,Savings,NGN,Dormant,2022-10-26,,742976
10,9703905715,100000007,6,Current,NGN,Active,2019-09-28,,7704136
11,7635473142,100000008,126,Savings,NGN,Active,2026-06-21,,138530
12,6241752544,100000009,77,Savings,NGN,Active,2026-03-15,,688371
13,7825844140,100000009,77,Current,NGN,Active,2026-03-24,,654953
14,4460967357,100000010,96,Savings,NGN,Active,2026-03-21,,326519
15,8293453178,100000010,96,Current,NGN,Active,2026-04-22,,961253
16,6756332150,100000011,2,Savings,NGN,Active,2026-02-03,,1578912
17,1667779376,100000011,2,Current,NGN,Active,2025-02-09,,4806005
18,2445662585,100000012,145,Savings,NGN,Active,2025-08-19,,1642939
19,5693307665,100000013,120,Savings,NGN,Active,2019-01-06,,8024907
20,5710360983,100000014,22,Savings,NGN,Active,2026-02-05,,986903
21,8934927891,100000015,19,Current,NGN,Active,2026-06-06,,2353570884
22,7887950851,100000015,19,Domiciliary,USD,Active,2026-05-18,,2122806
23,4466589567,100000016,19,Savings,NGN,Active,2022-10-19,,1813167
24,8429141456,100000016,19,Current,NGN,Active,2026-06-07,,101850
25,3303082117,100000017,33,Savings,NGN,Active,2025-10-26,,1604635
26,2625792787,100000018,63,Savings,NGN,Active,2025-07-30,,1088869
27,7665963761,100000018,63,Current,NGN,Active,2019-09-04,,4977603
28,8995970241,100000019,50,Savings,NGN,Active,2025-05-21,,3117328
29,3479708607,100000020,32,Savings,NGN,Active,2024-08-10,,2286270
30,4026113008,100000021,79,Current,NGN,Active,2022-12-19,,8605676
31,9786748825,100000022,15,Savings,NGN,Active,2025-08-22,,213227
32,5728765136,100000022,15,Current,NGN,Active,2026-03-15,,4065857
33,6488854841,100000023,32,Savings,NGN,Active,2024-11-13,,2855546
34,2566942273,100000023,32,Current,NGN,Active,2020-12-05,,5820481
35,6884882440,100000024,41,Savings,NGN,Active,2025-12-05,,1946404
36,3783290795,100000024,41,Current,NGN,Active,2026-04-28,,6885330
37,4131575764,100000025,53,Savings,NGN,Active,2024-02-02,,669280
38,5996775663,100000025,53,Current,NGN,Active,2023-06-08,,1250668
39,6924716023,100000026,110,Savings,NGN,Active,2026-02-12,,8892276
40,3392080953,100000026,110,Current,NGN,Active,2025-12-03,,58130255
41,8235363119,100000026,110,Domiciliary,USD,Active,2025-08-13,,247170
42,4332894265,100000027,21,Savings,NGN,Closed,2023-01-09,2023-11-25,0
43,6649827836,100000028,62,Savings,NGN,Active,2026-03-09,,1361105
44,2149938334,100000029,76,Savings,NGN,Active,2024-07-03,,4328909
